challen_id,challen_name,diff_level
1,1,Easy
2,2,Medium
3,3,Hard
4,4,Hard
5,5,Easy
6,6,Easy
7,7,Medium
8,8,Medium
9,9,Hard
10,10,Medium
11,11,Medium
12,12,Hard
13,13,Hard
14,14,Hard
15,15,Hard
16,16,Hard
17,17,Medium
18,18,Medium
19,19,Hard
20,20,Hard
21,21,Medium
22,22,Medium
23,23,Medium
24,24,Hard
25,25,Medium
26,26,Easy
27,27,Hard
28,28,Hard
29,29,Medium
30,30,Medium
31,31,Hard
32,32,Hard
33,33,Medium
34,34,Hard
35,35,Medium
36,36,Hard
37,37,Hard
38,38,Medium
39,39,Hard
40,40,Hard
41,41,Medium
42,42,Medium
43,43,Hard
44,44,Medium
45,45,Hard
46,46,Easy
47,47,Medium
48,48,Medium
49,49,Medium
50,50,Medium
51,51,Medium
52,52,Medium
53,53,Hard
54,54,Medium
55,55,Hard
56,56,Hard
57,57,Hard
58,58,Easy
59,59,Medium
60,60,Hard
61,61,Medium
62,62,Hard
63,63,Medium
64,64,Medium
65,65,Medium
66,66,Easy
67,67,Easy
68,68,Hard
69,69,Medium
70,70,Medium
71,71,Easy
72,72,Hard
73,73,Medium
74,74,Hard
75,75,Hard
76,76,Hard
77,77,Medium
78,78,Medium
79,79,Hard
80,80,Medium
81,81,Medium
82,82,Easy
83,83,Medium
84,84,Hard
85,85,Medium
86,86,Medium
87,87,Medium
88,88,Hard
89,89,Hard
90,90,Medium
91,91,Hard
92,92,Easy
93,93,Medium
94,94,Medium
95,95,Medium
96,96,Easy
97,97,Hard
98,98,Medium
99,99,Hard
100,100,Easy
